id,count
0,105.54
1,214.12
2,84.47
4,40.77
5,59.2
10,123.42
11,194.43
12,317.71
15,42.04
17,111.56
18,295.18
23,250.64
25,88.02
26,41.04
31,208.23
39,142.61
40,26.64
41,171.33
42,348.24
43,153.84
51,232.16
52,85.77
54,25.5
60,140.47
61,142.61
62,114.72
63,29.7
65,116.36
66,112.9
68,148.77
71,75.32
80,34.78
82,62.47
94,130.01
98,267.44
101,40.02
102,129.84
107,103.62
112,244.9
113,91.13
115,54.85
116,122.29
120,152.97
121,91.05
122,333.61
132,216.6
143,94.61
147,59.33
150,18.47
151,85.43
152,226.16
153,91.93
155,178.04
156,82.18
159,187.82
161,131.5
163,51.48
177,171.98
186,22.02
188,20.24
190,88.26
191,88.27
192,255.1
195,307.49
200,162.26
209,315.2
210,24.68
211,238.01
214,135.18
215,33.0
218,101.29
219,32.38
222,125.89
225,15.19
228,314.98
236,230.85
241,35.42
242,183.05
243,232.28
245,28.08
247,247.66
251,131.65
252,80.71
253,84.99
254,95.15
258,330.79
260,49.37
261,167.04
265,111.36
266,278.51
267,284.12
269,157.32
270,66.17
275,101.31
278,40.25
279,83.72
286,96.18
287,28.39
288,220.47
289,148.12
293,18.15
294,145.8
297,38.43
302,123.23
303,79.73
304,64.41
307,101.94
309,25.81
311,168.39
312,126.44
314,175.7
315,237.96
319,157.79
322,115.92
323,58.44
325,118.72
327,235.84
330,37.31
332,192.02
333,18.17
338,102.0
341,112.0
345,171.77
348,117.71
349,51.52
350,118.05
352,56.21
355,14.99
356,239.43
358,57.06
363,128.09
369,160.5
371,18.4
372,140.42
375,305.87
380,130.12
388,45.59
391,141.83
392,246.72
393,358.16
394,198.94
396,33.49
401,36.72
407,106.89
409,89.53
410,116.45
416,107.79
418,122.95
420,155.2
421,235.62
422,126.99
424,284.41
428,314.14
429,242.04
431,155.22
435,10.43
439,114.55
441,19.15
447,96.01
449,139.77
451,138.7
452,26.26
454,210.75
458,236.88
463,124.34
467,21.76
470,225.37
471,154.63
474,282.23
478,24.45
483,124.44
484,117.83
485,88.65
486,127.76
491,99.26
494,102.18
495,218.92
497,206.4
499,155.99
515,110.94
518,214.28
521,165.42
525,153.36
529,245.27
532,145.27
534,105.43
540,112.89
544,299.89
547,166.8
549,49.65
563,40.31
564,142.85
567,121.96
572,109.3
577,120.04
578,275.36
585,328.43
588,133.79
589,120.26
590,103.78
592,24.35
594,208.64
596,22.62
598,333.74
599,145.2
605,43.58
606,132.1
607,230.4
608,214.57
609,60.81
610,280.11
611,172.26
614,130.69
615,221.56
616,252.43
617,126.74
618,233.22
624,117.75
629,137.07
631,94.41
633,102.8
637,31.34
638,109.8
643,74.06
644,145.73
645,38.88
646,206.85
648,181.77
650,36.41
651,187.49
652,252.98
656,108.82
657,27.62
659,70.76
660,195.19
662,103.11
665,368.63
675,321.05
681,158.58
682,191.9
685,19.45
686,215.77
689,32.02
696,135.19
703,146.43
704,98.46
705,121.81
714,234.64
717,101.72
718,23.06
720,83.8
721,253.8
723,235.11
726,186.62
728,142.27
730,191.18
731,35.22
734,338.57
737,74.58
738,18.37
745,166.11
746,33.71
749,227.37
752,32.28
753,182.55
758,244.97
765,23.25
766,227.94
768,86.15
769,184.12
774,127.55
775,102.3
781,53.28
784,321.03
794,31.76
795,265.84
796,87.55
802,149.39
803,202.98
805,36.6
806,285.55
807,107.24
809,15.79
810,162.65
812,186.32
814,115.99
818,244.62
819,131.3
825,69.54
836,111.28
839,119.17
847,255.68
848,173.53
851,106.9
852,136.57
853,41.48
857,144.77
858,46.96
859,211.87
861,20.64
867,99.91
870,200.48
871,215.68
872,234.56
874,363.89
881,195.99
886,137.09
890,58.13
895,164.57
899,92.55
900,262.91
901,252.1
902,248.72
903,50.29
913,252.93
918,189.7
923,130.69
924,38.68
926,30.88
927,18.21
930,220.82
934,29.73
937,132.67
939,146.71
941,91.42
942,363.74
946,264.09
950,100.1
953,82.21
959,104.3
961,28.56
962,98.59
964,73.03
969,187.86
971,145.74
976,37.36
978,240.22
980,223.34
981,141.62
990,351.86
993,20.66
996,30.61
998,318.2
999,185.19
1006,122.55
1008,23.21
1013,33.08
1015,99.35
1016,119.04
1022,289.17
1026,214.82
1028,236.43
1031,60.3
1034,49.59
1037,209.59
1040,65.31
1042,20.55
1046,30.82
1048,103.11
1049,112.81
1050,66.37
1051,209.77
1052,243.79
1055,185.03
1060,162.31
1064,40.23
1066,75.7
1071,102.28
1073,21.62
1089,193.52
1091,89.27
1092,68.29
1093,231.64
1096,295.32
1097,221.03
1098,19.66
1099,41.49
1102,182.95
1107,108.3
1109,46.36
1111,117.73
1112,117.48
1114,306.52
1116,285.95
1117,115.1
1118,81.21
1122,129.54
1124,156.08
1127,124.36
1133,240.56
1134,39.16
1135,147.78
1139,283.26
1143,52.4
1150,116.57
1151,113.53
1153,263.66
1155,36.18
1162,27.88
1163,222.86
1166,20.43
1171,89.9
1172,22.62
1173,253.53
1174,92.25
1177,120.93
1178,159.07
1184,181.2
1185,120.66
1186,118.0
1187,162.78
1188,286.74
1191,137.68
1207,119.94
1213,51.44
1215,131.47
1223,172.19
1227,117.9
1236,56.15
1237,55.82
1238,29.55
1241,33.47
1248,17.4
1250,37.27
1251,163.76
1253,114.16
1255,101.07
1257,182.86
1261,108.85
1262,335.75
1265,123.23
1273,172.88
1277,246.68
1278,114.7
1280,114.22
1284,226.46
1285,326.01
1288,43.72
1295,115.51
1297,352.6
1299,256.16
1304,155.21
1308,45.29
1310,94.73
1311,115.9
1314,103.74
1315,109.57
1318,34.38
1320,324.6
1321,284.92
1322,228.65
1330,111.86
1333,157.79
1334,215.0
1341,132.34
1344,141.48
1351,234.41
1354,105.88
1356,58.81
1363,120.91
1365,192.34
1369,125.1
1373,114.3
1375,117.38
1377,92.8
1379,141.45
1380,266.32
1381,98.11
1384,171.83
1390,185.39
1393,238.03
1395,53.32
1399,323.43
1400,92.18
1401,144.57
1404,164.52
1408,21.84
1409,27.45
1413,233.27
1416,276.57
1418,106.17
1423,104.2
1424,33.35
1425,24.52
1433,270.71
1434,141.85
1436,330.3
1442,240.63
1444,84.0
1445,113.4
1452,222.86
1455,169.06
1462,74.5
1467,73.56
1472,51.91
1475,178.93
1493,114.68
1501,231.13
1503,292.59
1504,230.65
1505,14.99
1511,228.93
1512,54.78
1513,81.19
1514,49.1
1528,236.87
1533,247.51
1534,30.18
1536,156.85
1537,65.96
1539,203.09
1550,206.41
1552,208.09
1554,196.29
1555,355.0
1556,101.23
1559,35.42
1563,252.52
1566,138.6
1567,150.14
1568,34.07
1571,233.18
1572,18.29
1574,51.71
1577,27.13
1583,79.98
1585,32.08
1586,186.91
1587,190.75
1596,148.03
1602,41.8
1604,94.26
1605,38.88
1610,294.05
1611,94.93
1616,42.19
1617,99.93
1618,23.28
1622,45.07
1623,31.61
1628,300.99
1631,20.33
1632,179.46
1633,248.87
1634,309.12
1636,212.77
1637,105.36
1643,118.39
1644,108.91
1646,103.19
1648,203.96
1651,39.9
1656,18.93
1658,141.19
1659,17.17
1665,178.7
1666,139.51
1670,50.0
1674,148.89
1679,204.01
1680,217.45
1683,334.0
1686,26.98
1691,98.9
1693,36.97
1696,46.13
1697,99.95
1703,107.68
1706,32.51
1709,173.92
1710,88.54
1712,197.96
1713,121.53
1718,343.82
1719,174.86
1722,284.59
1723,126.13
1724,274.46
1728,64.33
1730,35.39
1732,27.48
1737,37.6
1745,87.46
1747,22.65
1748,20.59
1755,98.82
1759,26.1
1761,259.43
1764,218.99
1765,153.63
1766,85.99
1768,103.2
1770,36.08
1771,141.91
1774,98.36
1785,128.86
1788,197.47
1792,22.86
1794,232.39
1797,122.56
1798,14.04
1799,273.34
1802,106.13
1806,35.88
1808,79.2
1810,241.46
1818,111.4
1819,377.43
1820,279.78
1822,217.83
1826,214.91
1827,188.97
1835,18.44
1841,113.94
1842,150.53
1843,29.06
1846,46.87
1849,90.0
1850,213.15
1851,189.67
1857,54.43
1858,174.42
1860,96.6
1861,251.27
1864,119.8
1869,319.26
1871,73.42
1872,32.36
1875,23.02
1878,231.54
1879,235.59
1885,92.4
1888,107.78
1889,33.63
1890,93.36
1896,140.97
1897,171.37
1898,106.55
1900,104.67
1905,44.28
1908,120.13
1909,104.52
1913,70.27
1918,109.28
1922,327.93
1923,130.06
1925,247.19
1926,141.34
1927,284.34
1930,200.07
1935,86.52
1939,119.99
1942,93.37
1943,303.5
1948,243.19
1949,245.77
1951,107.49
1953,116.02
1959,123.63
1963,19.97
1967,127.88
1973,248.69
1975,35.88
1976,87.05
1990,114.78
1993,119.46
1997,175.54
1999,127.28
2001,305.72
2004,86.55
2010,101.92
2013,132.91
2017,301.72
2021,110.42
2023,141.61
2026,137.06
2037,40.34
2039,187.23
2041,25.05
2046,28.86
2050,24.56
2060,226.91
2067,105.99
2069,140.46
2072,256.23
2074,135.57
2079,110.72
2083,31.12
2085,182.31
2087,18.02
2093,136.89
2094,30.04
2097,42.51
2103,96.19
2104,53.47
2107,197.75
2108,19.28
2110,102.97
2115,180.69
2117,32.02
2125,296.19
2127,278.81
2133,15.15
2134,366.68
2135,115.9
2141,272.67
2143,38.75
2145,87.01
2146,39.18
2147,271.62
2148,55.02
2149,73.6
2165,118.93
2166,154.25
2177,197.78
