id,count
0,98.35
1,214.72
2,82.31
4,29.7
5,68.59
10,125.39
11,213.98
12,325.3
15,38.15
17,129.25
18,307.88
23,241.96
25,96.09
26,37.73
31,204.53
39,172.23
40,28.55
41,192.73
42,359.59
43,149.16
51,219.43
52,87.03
54,17.38
60,138.84
61,142.52
62,115.8
63,30.28
65,117.65
66,112.8
68,162.2
71,74.36
80,30.37
82,56.9
94,132.97
98,266.7
101,33.91
102,139.85
107,122.24
112,234.15
113,75.01
115,59.84
116,120.61
120,171.27
121,85.8
122,334.75
132,186.25
143,95.56
147,60.17
150,18.24
151,87.67
152,227.97
153,92.73
155,160.09
156,86.91
159,198.82
161,137.02
163,44.36
177,181.27
186,15.34
188,19.28
190,87.82
191,76.86
192,266.66
195,312.81
200,143.55
209,312.92
210,15.49
211,230.95
214,144.34
215,26.85
218,100.4
219,32.93
222,134.89
225,14.74
228,317.84
236,221.88
241,36.71
242,172.98
243,239.14
245,18.63
247,246.79
251,142.11
252,82.25
253,84.78
254,90.17
258,318.38
260,43.83
261,181.35
265,121.64
266,280.95
267,291.09
269,160.48
270,61.04
275,100.14
278,36.61
279,84.63
286,97.35
287,29.32
288,213.83
289,141.83
293,17.29
294,148.41
297,33.48
302,122.32
303,67.9
304,70.36
307,100.23
309,16.27
311,170.83
312,127.81
314,173.44
315,231.47
319,172.84
322,117.05
323,58.78
325,128.19
327,243.48
330,35.14
332,211.23
333,16.15
338,105.58
341,112.01
345,200.97
348,122.93
349,43.66
350,118.82
352,55.5
355,15.53
356,237.72
358,62.25
363,136.86
369,157.59
371,18.87
372,138.04
375,302.67
380,130.84
388,45.18
391,146.45
392,247.65
393,373.65
394,197.12
396,28.35
401,37.24
407,106.78
409,87.41
410,115.2
416,110.94
418,121.22
420,151.37
421,224.11
422,132.95
424,287.82
428,332.27
429,215.98
431,178.02
435,12.5
439,115.31
441,12.93
447,97.76
449,147.34
451,163.82
452,16.94
454,222.22
458,214.26
463,125.04
467,13.73
470,256.05
471,156.0
474,291.33
478,16.39
483,126.0
484,138.12
485,86.57
486,128.68
491,100.39
494,101.61
495,239.24
497,209.47
499,168.3
515,116.64
518,195.77
521,175.47
525,168.23
529,242.97
532,140.85
534,112.2
540,119.98
544,300.76
547,159.35
549,44.44
563,36.12
564,147.12
567,122.7
572,113.3
577,142.47
578,266.43
585,338.49
588,143.8
589,121.37
590,108.69
592,16.65
594,249.33
596,14.38
598,348.22
599,142.97
605,37.2
606,138.24
607,250.67
608,219.58
609,60.66
610,283.65
611,176.15
614,133.85
615,222.53
616,248.11
617,126.52
618,245.11
624,119.29
629,141.67
631,96.82
633,97.06
637,24.39
638,105.35
643,66.25
644,135.8
645,36.89
646,212.52
648,175.97
650,37.89
651,195.62
652,269.45
656,100.68
657,18.12
659,82.52
660,201.58
662,101.5
